,Pub.Priv,Year,Ave.Act,Num.33-36,Num.28-32,Num.24-27,Num.19-23,Num.17-18,Num.1-16,Num.NA,Num.Tot,Pct.33-36,Pct.28-32,Pct.24-27,Pct.19-23,Pct.17-18,Pct.1-16,Pct.NA,Pct.Tot
HARRIS-STOWE,Public,2006,16.3,0,1,4,42,68,144,154,413,0,0.002421307506053,0.009685230024213,0.101694915254237,0.164648910411622,0.348668280871671,0.372881355932203,1
LINCOLN,Public,2006,17.7,0,2,37,153,127,213,34,566,0,0.003533568904594,0.065371024734982,0.270318021201413,0.224381625441696,0.376325088339223,0.060070671378092,1
MISSOURI SOUTHERN,Public,2006,21.6,2,67,187,381,111,74,123,945,0.002116402116402,0.070899470899471,0.197883597883598,0.403174603174603,0.117460317460317,0.078306878306878,0.13015873015873,1
MISSOURI STATE,Public,2006,23.8,24,486,821,1278,117,14,103,2843,0.008441786844882,0.170946183608864,0.288779458318677,0.449525149489975,0.041153710868801,0.004924375659515,0.036229335209286,1
MISSOURI WESTERN,Public,2006,19.5,2,37,125,406,184,235,71,1060,0.00188679245283,0.034905660377359,0.117924528301887,0.383018867924528,0.173584905660377,0.221698113207547,0.066981132075472,1
NORTHWEST,Public,2006,21.9,5,83,281,659,169,45,34,1276,0.003918495297806,0.065047021943574,0.220219435736677,0.516457680250784,0.132445141065831,0.035266457680251,0.026645768025078,1
SOUTHEAST,Public,2006,22.2,4,157,334,669,200,37,117,1518,0.002635046113307,0.103425559947299,0.220026350461133,0.440711462450593,0.131752305665349,0.02437417654809,0.077075098814229,1
TRUMAN,Public,2006,27.3,85,552,480,179,7,0,64,1367,0.062179956108266,0.403803950256035,0.351133869787857,0.130943672275055,0.00512070226774,0,0.046817849305048,1
UCM,Public,2006,22.1,2,101,376,800,184,29,145,1637,0.001221747098351,0.061698228466707,0.229688454489921,0.488698839340257,0.112400733048259,0.017715332926084,0.088576664630422,1
UMC,Public,2006,25.3,89,1149,1824,1497,57,14,207,4837,0.018399834608228,0.237543932189374,0.377093239611329,0.309489352904693,0.011784163737854,0.002894356005789,0.042795120942733,1
UMKC,Public,2006,23.7,14,186,263,290,75,50,77,955,0.014659685863874,0.194764397905759,0.275392670157068,0.303664921465969,0.078534031413613,0.052356020942408,0.080628272251309,1
