Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Other_Sales
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,82.74,8.46
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,40.24,0.77
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,35.82,3.31
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,33,2.96
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,31.37,1
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,30.26,0.58
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,30.01,2.9
8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,29.02,2.85
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,28.62,2.26
10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,28.31,0.47
11,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11,1.93,24.76,2.75
12,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,23.42,1.92
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9,6.18,7.2,23.1,0.71
14,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,22.72,2.15
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,22,1.79
16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,21.82,1.67
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,21.4,4.14
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,20.81,10.57
19,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,20.61,0.55
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.75,9.26,4.16,20.22,2.05
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,18.36,1.37
22,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,18.14,0.42
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,17.28,0.46
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,16.38,1.38
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,16.15,1.78
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,15.85,0.5
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,15.32,0.82
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,15.3,1.18
